timestamps,x,y,z
1437881194992,0.0909796655178,0.178368031979,9.73841571808
1437881194998,0.0706289485097,0.15801730752,9.69292545319
1437881195004,0.0275333188474,0.130483999848,9.89284133911
1437881195011,0.0275333188474,0.130483999848,9.89284133911
1437881195017,0.0191536135972,0.130483999848,9.801861763
1437881195024,0.0227449163795,0.141257897019,9.82700061798
1437881195031,0.0275333188474,0.173579618335,9.84735202789
1437881195037,0.0646434426308,0.183156430721,9.69651699066
1437881195042,0.0730231553316,0.166397020221,9.77911663055
1437881195046,0.0682347491384,0.164002820849,9.74080944061
1437881195050,0.0430956296623,0.141257897019,9.79587650299
1437881195066,0.0263362191617,0.135272398591,9.83298683167
1437881195086,0.0287304203957,0.146046310663,9.76475143433
1437881195093,0.0287304203957,0.146046310663,9.76475143433
1437881195105,0.0526724383235,0.172382518649,9.77432823181
1437881195126,0.0670376494527,0.196324542165,9.79587650299
1437881195145,0.0945709645748,0.196324542165,9.78270816803
1437881195165,0.065840549767,0.202310040593,9.81024169922
1437881195185,0.0454898327589,0.162805721164,9.75756931305
1437881195206,-0.00837970618159,0.125695586205,9.76594829559
1437881195226,-0.0251391176134,0.0718260481954,9.86051940918
1437881195247,0.0407014302909,0.0706289485097,9.79946708679
1437881195267,0.11851298064,0.156820207834,9.79587650299
1437881195278,0.11851298064,0.156820207834,9.79587650299
1437881195286,0.123301386833,0.204704239964,9.80545330048
1437881195307,0.123301386833,0.217872351408,9.82819843292
1437881195326,0.0478840321302,0.21188685298,9.8174238205
1437881195346,-0.0179565120488,0.13287819922,9.74918937683
1437881195366,-0.00598550401628,0.0933738648891,9.75996303558
1437881195386,0.0131681095809,0.105344876647,9.8198184967
1437881195406,0.0119710080326,0.137666597962,9.87608242035
1437881195427,0.0825999602675,0.214281052351,9.76235771179
